ticker,name,sector,exchange,composite_score,grade,sd_score,inst_score,current_price,rank
ITW,ITW,Industrials,NYSE,87.57,🔥 S급 (즉시 매수),95,70,0,1
AVY,AVY,Consumer Cyclical,NYSE,87.51,🔥 S급 (즉시 매수),95,70,0,2
BALL,BALL,Consumer Cyclical,NYSE,87.51,🔥 S급 (즉시 매수),95,70,0,3
DVN,DVN,Energy,NYSE,86.08,🔥 S급 (즉시 매수),95,65,0,4
EMN,EMN,Basic Materials,NYSE,86.07,🔥 S급 (즉시 매수),95,65,0,5
TER,TER,Technology,NASDAQ,86.07,🔥 S급 (즉시 매수),95,65,0,6
VZ,VZ,Communication Services,NYSE,86.07,🔥 S급 (즉시 매수),95,65,0,7
IEX,IEX,Industrials,NYSE,86.02,🔥 S급 (즉시 매수),95,65,0,8
CTRA,CTRA,Energy,NYSE,86.01,🔥 S급 (즉시 매수),95,65,0,9
FITB,FITB,Financial Services,NASDAQ,84.59,🔥 S급 (즉시 매수),95,60,0,10
GWW,GWW,Industrials,NYSE,84.5,🔥 S급 (즉시 매수),95,60,0,11
CB,CB,Financial Services,NYSE,84.09,🔥 S급 (즉시 매수),90,70,0,12
DE,DE,기타,NYSE,84.07,🔥 S급 (즉시 매수),90,70,0,13
MRK,MRK,Healthcare,NYSE,84.04,🔥 S급 (즉시 매수),90,70,0,14
MDLZ,MDLZ,기타,NYSE,84.03,🔥 S급 (즉시 매수),90,70,0,15
FDX,FDX,기타,NYSE,84.03,🔥 S급 (즉시 매수),90,70,0,16
CME,CME,Financial Services,NASDAQ,84.0,🔥 S급 (즉시 매수),90,70,0,17
CL,CL,Consumer Defensive,NYSE,84.0,🔥 S급 (즉시 매수),90,70,0,18
CHRW,CHRW,기타,NYSE,82.59,🔥 S급 (즉시 매수),90,65,0,19
ODFL,ODFL,기타,NYSE,82.58,🔥 S급 (즉시 매수),90,65,0,20
