ticker,institutional_pct,insider_pct,short_pct,float_shares_m,num_inst_holders,insider_buys,insider_sells,insider_sentiment,institutional_score,institutional_stage
A,92.65,0.32,1.6,282.64,10,0,0,Neutral,70,Strong Institutional Support
AAL,68.4,1.48,6.3,650.84,10,0,0,Neutral,60,Institutional Support
AAPL,64.99,1.7,0.77,14655.59,10,0,0,Neutral,65,Institutional Support
ABBV,75.19,0.1,1.25,0.0,10,0,0,Neutral,65,Institutional Support
ABNB,85.23,1.49,4.05,409.69,10,0,0,Neutral,65,Institutional Support
ABT,81.66,0.54,1.15,1728.56,10,0,0,Neutral,70,Strong Institutional Support
ACGL,93.42,3.19,1.88,350.12,10,0,0,Neutral,70,Strong Institutional Support
ACN,82.47,0.08,2.31,614.17,10,0,0,Neutral,70,Strong Institutional Support
ADBE,87.44,0.22,2.92,409.22,10,0,0,Neutral,70,Strong Institutional Support
ADI,94.07,0.23,2.07,487.88,10,0,0,Neutral,70,Strong Institutional Support
ADM,86.38,0.61,3.92,478.43,10,0,0,Neutral,65,Institutional Support
ADP,87.09,0.15,2.04,401.74,10,0,0,Neutral,70,Strong Institutional Support
ADSK,95.69,0.21,2.59,211.48,10,0,0,Neutral,70,Strong Institutional Support
AEE,87.46,0.3,3.81,269.2,10,0,0,Neutral,65,Institutional Support
AEP,87.07,0.25,3.44,534.47,10,0,0,Neutral,65,Institutional Support
AES,91.1,0.46,3.44,708.05,10,0,0,Neutral,65,Institutional Support
AFL,60.18,10.72,1.39,519.94,10,0,0,Neutral,65,Institutional Support
AIG,100.64,0.25,1.88,538.01,10,0,0,Neutral,70,Strong Institutional Support
AIZ,96.59,0.62,2.55,49.79,10,0,0,Neutral,70,Strong Institutional Support
AJG,91.63,0.92,2.33,254.24,10,0,0,Neutral,70,Strong Institutional Support
AKAM,98.92,1.95,10.94,140.67,10,0,0,Neutral,55,Institutional Support
ALB,92.29,0.34,12.43,117.27,10,0,0,Neutral,55,Institutional Support
ALGN,96.52,6.76,3.45,67.22,10,0,0,Neutral,65,Institutional Support
ALL,81.69,0.55,2.67,260.17,10,0,0,Neutral,70,Strong Institutional Support
ALLE,99.21,1.12,3.45,84.83,10,0,0,Neutral,65,Institutional Support
AMAT,84.87,0.32,2.03,789.41,10,0,0,Neutral,70,Strong Institutional Support
AMCR,69.95,0.24,6.03,460.93,10,0,0,Unknown,60,Institutional Support
AMD,70.47,0.44,2.35,1621.39,10,0,0,Neutral,65,Institutional Support
AME,90.66,0.36,1.57,228.32,10,0,0,Neutral,70,Strong Institutional Support
AMGN,84.18,0.21,2.6,537.64,10,0,0,Neutral,70,Strong Institutional Support
AMP,90.77,0.2,3.66,92.48,10,0,0,Neutral,65,Institutional Support
AMT,95.1,0.15,1.63,466.77,10,0,0,Neutral,70,Strong Institutional Support
AMZN,66.77,9.18,0.81,9701.91,10,0,0,Neutral,65,Institutional Support
ANET,70.1,17.94,1.36,1041.5,10,0,0,Neutral,65,Institutional Support
ANSS,0.0,0.0,0.0,0.0,0,0,0,Unknown,45,Neutral
AON,87.66,3.04,0.92,207.65,10,0,0,Neutral,70,Strong Institutional Support
AOS,101.27,0.73,4.84,112.77,10,0,0,Neutral,65,Institutional Support
APA,99.39,0.43,10.88,352.42,10,0,0,Neutral,55,Institutional Support
APD,94.8,1.92,2.8,222.34,10,0,0,Neutral,70,Strong Institutional Support
APH,98.57,0.54,1.22,1217.77,10,0,0,Neutral,70,Strong Institutional Support
APTV,101.73,0.46,4.13,212.88,10,0,0,Neutral,65,Institutional Support
ARE,96.48,1.3,7.33,154.05,10,0,0,Neutral,65,Institutional Support
ATO,100.01,0.38,3.16,164.75,10,0,0,Neutral,65,Institutional Support
AVB,97.27,0.36,5.59,133.02,10,0,0,Neutral,65,Institutional Support
AVGO,79.1,2.01,1.39,405.87,10,0,0,Neutral,65,Institutional Support
AVY,97.23,0.81,2.88,76.76,10,0,0,Neutral,70,Strong Institutional Support
AWK,98.81,0.12,6.11,194.72,10,0,0,Neutral,65,Institutional Support
AXON,87.75,4.46,3.9,75.14,10,0,0,Neutral,65,Institutional Support
AXP,65.38,22.23,1.51,533.06,10,0,0,Neutral,65,Institutional Support
AZO,94.01,0.24,1.84,16.51,10,0,0,Neutral,70,Strong Institutional Support
BA,72.19,0.07,2.12,753.52,10,0,0,Neutral,65,Institutional Support
BAC,71.69,7.97,1.1,7186.36,10,0,0,Neutral,65,Institutional Support
BALL,89.5,0.31,2.44,265.71,10,0,0,Neutral,70,Strong Institutional Support
BAX,107.56,0.37,9.88,511.93,10,0,0,Neutral,65,Institutional Support
BBWI,110.07,0.37,7.96,203.66,10,0,0,Neutral,65,Institutional Support
BBY,93.07,7.55,13.14,194.38,10,0,0,Neutral,55,Institutional Support
BDX,95.78,0.39,2.41,284.69,10,0,0,Neutral,70,Strong Institutional Support
BEN,46.76,48.39,5.97,303.14,10,0,0,Neutral,50,Neutral
BF-B,75.36,2.9,15.5,326.37,10,0,0,Neutral,50,Neutral
BG,75.95,17.77,3.7,160.54,10,0,0,Neutral,60,Institutional Support
BIIB,94.68,0.15,4.12,146.26,10,0,0,Neutral,65,Institutional Support
BIO,94.29,16.27,4.13,21.12,10,0,0,Neutral,65,Institutional Support
BK,89.91,0.19,1.02,686.72,10,0,0,Neutral,70,Strong Institutional Support
BKNG,96.31,0.16,2.26,32.14,10,0,0,Neutral,70,Strong Institutional Support
BKR,102.45,0.13,4.74,984.74,10,0,0,Neutral,65,Institutional Support
BLDR,102.77,2.62,5.81,107.55,10,0,0,Neutral,65,Institutional Support
BLK,83.45,1.97,0.81,143.99,10,0,0,Neutral,70,Strong Institutional Support
BMY,82.16,0.08,1.82,2032.48,10,0,0,Neutral,70,Strong Institutional Support
BR,94.17,0.46,2.1,116.17,10,0,0,Neutral,70,Strong Institutional Support
BRK-B,66.02,0.39,0.87,1.24,10,0,0,Neutral,65,Institutional Support
BRO,82.62,13.25,5.15,289.28,10,0,0,Neutral,65,Institutional Support
BSX,95.28,0.19,1.58,0.0,10,0,0,Neutral,70,Strong Institutional Support
BWA,103.06,0.99,6.24,211.91,10,0,0,Neutral,65,Institutional Support
BX,70.63,0.93,1.26,743.18,10,0,0,Neutral,65,Institutional Support
BXP,110.15,0.4,8.35,147.09,10,0,0,Neutral,65,Institutional Support
C,81.06,0.26,1.44,1741.98,10,0,0,Neutral,70,Strong Institutional Support
CAG,89.08,0.64,8.26,474.96,10,0,0,Neutral,65,Institutional Support
CAH,91.89,0.27,2.47,237.09,10,0,0,Neutral,70,Strong Institutional Support
CARR,87.51,6.09,1.86,790.03,10,0,0,Neutral,70,Strong Institutional Support
CAT,74.0,0.21,1.32,465.13,10,0,0,Neutral,65,Institutional Support
CB,83.33,8.6,0.95,373.69,10,0,0,Neutral,70,Strong Institutional Support
CBOE,90.44,0.22,2.98,104.25,10,0,0,Neutral,70,Strong Institutional Support
CBRE,97.72,0.52,1.07,290.87,10,0,0,Neutral,70,Strong Institutional Support
CCI,99.36,0.12,2.47,434.59,10,0,0,Neutral,70,Strong Institutional Support
CCL,72.01,7.87,3.5,1284.42,10,0,0,Neutral,60,Institutional Support
CDNS,91.75,0.29,1.83,271.11,10,0,0,Neutral,70,Strong Institutional Support
CDW,95.5,0.38,3.5,129.53,10,0,0,Neutral,65,Institutional Support
CE,104.17,0.45,8.4,108.92,10,0,0,Neutral,65,Institutional Support
CEG,93.0,0.35,2.25,292.37,10,0,0,Neutral,70,Strong Institutional Support
CF,105.05,0.74,9.85,154.24,10,0,0,Neutral,65,Institutional Support
CFG,99.31,0.74,5.17,425.13,10,0,0,Neutral,65,Institutional Support
CHD,90.74,0.2,5.03,238.05,10,0,0,Neutral,65,Institutional Support
CHRW,102.01,0.8,8.4,119.39,10,0,0,Neutral,65,Institutional Support
CHTR,88.61,36.22,27.29,81.69,10,0,0,Neutral,55,Institutional Support
CI,91.3,1.59,2.36,265.86,10,0,0,Neutral,70,Strong Institutional Support
CINF,70.8,1.6,1.82,153.25,10,0,0,Neutral,65,Institutional Support
CL,86.5,0.16,2.26,754.33,10,0,0,Neutral,70,Strong Institutional Support
CLX,88.97,0.61,7.02,121.19,10,0,0,Neutral,65,Institutional Support
CMCSA,89.63,0.74,1.76,3561.33,10,0,0,Neutral,70,Strong Institutional Support
CME,91.34,0.43,1.18,358.07,10,0,0,Neutral,70,Strong Institutional Support
CMG,91.94,0.6,2.56,1295.26,10,0,0,Neutral,70,Strong Institutional Support
CMI,87.69,0.32,1.53,137.43,10,0,0,Neutral,70,Strong Institutional Support
CMS,99.88,0.54,4.86,302.16,10,0,0,Neutral,65,Institutional Support
CNC,97.32,0.45,2.85,489.1,10,0,0,Neutral,70,Strong Institutional Support
CNP,101.8,0.44,6.66,649.38,10,0,0,Neutral,65,Institutional Support
COF,89.08,1.84,1.39,612.43,10,0,0,Neutral,70,Strong Institutional Support
COO,108.12,0.62,3.83,194.52,10,0,0,Neutral,65,Institutional Support
COP,83.9,0.07,1.58,1233.11,10,0,0,Neutral,70,Strong Institutional Support
COR,96.14,4.21,2.85,185.86,10,0,0,Neutral,70,Strong Institutional Support
COST,72.16,0.16,1.77,442.64,10,0,0,Neutral,65,Institutional Support
CPAY,95.44,3.56,3.67,67.39,10,0,0,Neutral,65,Institutional Support
CPB,65.88,33.61,19.43,192.21,10,0,0,Neutral,50,Neutral
CPRT,85.95,8.61,4.3,887.71,10,0,0,Neutral,65,Institutional Support
CPT,98.84,1.34,5.12,104.52,10,0,0,Neutral,65,Institutional Support
CRL,108.12,1.0,6.63,48.66,10,0,0,Neutral,65,Institutional Support
CRM,83.87,2.63,1.99,911.64,10,0,0,Neutral,70,Strong Institutional Support
CSCO,81.34,0.06,1.46,3944.1,10,0,0,Neutral,70,Strong Institutional Support
CSGP,104.12,1.18,4.03,418.25,10,0,0,Neutral,65,Institutional Support
CSX,80.31,0.25,1.89,1859.82,10,0,0,Neutral,70,Strong Institutional Support
CTAS,68.15,14.98,2.16,341.88,10,0,0,Neutral,65,Institutional Support
CTLT,0.0,0.0,0.0,0.0,0,0,0,Unknown,45,Neutral
CTRA,96.43,1.47,4.67,751.21,10,0,0,Neutral,65,Institutional Support
CTSH,105.41,0.1,6.33,478.01,10,0,0,Neutral,65,Institutional Support
CTVA,87.4,0.12,2.11,670.56,10,0,0,Neutral,70,Strong Institutional Support
CVS,90.29,1.06,1.49,1266.92,10,0,0,Neutral,70,Strong Institutional Support
CVX,68.94,6.24,1.05,1846.77,10,0,0,Neutral,65,Institutional Support
CZR,106.72,2.16,19.88,193.24,10,0,0,Neutral,55,Institutional Support
D,84.33,0.12,3.65,852.15,10,0,0,Neutral,65,Institutional Support
DAL,82.84,0.32,3.43,645.79,10,0,0,Neutral,65,Institutional Support
DAY,77.96,1.19,15.26,156.93,10,0,0,Neutral,50,Neutral
DD,77.2,0.29,2.02,417.3,10,0,0,Neutral,65,Institutional Support
DE,82.76,0.16,2.1,269.91,10,0,0,Neutral,70,Strong Institutional Support
DECK,102.36,0.6,3.49,140.71,10,0,0,Neutral,65,Institutional Support
DFS,0.0,0.0,0.0,0.0,0,0,0,Unknown,45,Neutral
DG,98.07,0.34,4.25,218.79,10,0,0,Neutral,65,Institutional Support
DGX,100.34,0.39,5.87,110.67,10,0,0,Neutral,65,Institutional Support
DHI,90.47,11.32,6.7,257.21,10,0,0,Neutral,65,Institutional Support
DHR,83.88,11.05,1.22,629.54,10,0,0,Neutral,70,Strong Institutional Support
DIS,75.87,0.07,1.33,1768.83,10,0,0,Neutral,65,Institutional Support
DLR,101.1,0.02,3.64,321.26,10,0,0,Neutral,65,Institutional Support
DLTR,115.87,0.15,9.49,175.05,10,0,0,Neutral,65,Institutional Support
DOC,97.6,0.29,4.89,692.21,10,0,0,Neutral,65,Institutional Support
DOV,88.48,1.39,3.0,135.3,10,0,0,Neutral,65,Institutional Support
DOW,66.76,0.17,4.48,715.39,10,0,0,Neutral,60,Institutional Support
DPZ,90.84,9.33,7.07,32.83,10,0,0,Neutral,65,Institutional Support
DRI,95.91,0.33,7.66,114.59,10,0,0,Neutral,65,Institutional Support
DTE,80.88,0.36,1.99,206.63,10,0,0,Neutral,70,Strong Institutional Support
DUK,70.3,0.13,1.62,775.79,10,0,0,Neutral,65,Institutional Support
DVA,51.46,51.54,20.23,36.28,10,0,0,Neutral,40,Institutional Concern
DVN,80.55,0.8,4.03,621.93,10,0,0,Neutral,65,Institutional Support
DXCM,97.15,0.43,5.09,387.37,10,0,0,Neutral,65,Institutional Support
EA,99.79,0.2,4.25,224.73,10,0,0,Neutral,65,Institutional Support
EBAY,95.85,0.25,3.32,450.29,10,0,0,Neutral,65,Institutional Support
ECL,94.12,0.14,1.07,285.43,10,0,0,Neutral,70,Strong Institutional Support
ED,73.59,0.22,3.69,360.3,10,0,0,Neutral,60,Institutional Support
EFX,101.99,0.51,2.95,121.85,10,0,0,Neutral,70,Strong Institutional Support
EG,98.24,1.42,2.59,31.6,10,0,0,Neutral,70,Strong Institutional Support
EIX,90.93,0.23,2.87,383.82,10,0,0,Neutral,70,Strong Institutional Support
EL,92.6,1.54,4.35,244.85,10,0,0,Neutral,65,Institutional Support
ELV,91.94,0.17,1.66,221.31,10,0,0,Neutral,70,Strong Institutional Support
EMN,92.0,0.78,4.25,113.2,10,0,0,Neutral,65,Institutional Support
EMR,84.11,0.24,2.7,559.88,10,0,0,Neutral,70,Strong Institutional Support
