ticker,name,category,current_price,price_change_20d,vol_ratio_5d_20d,obv_change_pct,flow_score
SPY,SPDR S&P 500,Broad Market,694.04,1.02,0.86,65.68,75
QQQ,Invesco QQQ,Broad Market,629.43,1.61,0.94,401.15,75
IWM,Russell 2000,Broad Market,263.37,6.18,0.96,327.48,85
DIA,Dow Jones,Broad Market,490.21,1.41,0.94,310.03,75
VTI,Vanguard Total,Broad Market,342.29,1.31,0.82,12.21,65
XLK,Technology,Sector,146.87,1.0,1.0,113.47,75
XLF,Financials,Sector,53.55,-2.95,0.94,-0.71,50
XLV,Healthcare,Sector,153.82,-1.19,0.84,-89.28,25
XLE,Energy,Sector,50.51,12.34,1.01,398.6,85
XLY,Consumer Disc,Sector,121.19,0.69,0.73,106.15,65
XLP,Consumer Staples,Sector,82.13,5.09,0.81,1448.4,85
XLI,Industrials,Sector,165.86,6.04,1.01,271.95,85
XLB,Materials,Sector,50.0,9.34,1.02,1635.05,85
XLU,Utilities,Sector,43.33,0.86,1.08,87.97,75
XLRE,Real Estate,Sector,41.37,1.6,0.78,5585.9,65
XLC,Comm Services,Sector,119.79,1.27,1.02,-125.71,25
GLD,Gold,Commodity,495.9,24.32,1.77,427.33,100
SLV,Silver,Commodity,105.57,53.04,1.63,234.17,100
USO,Oil,Commodity,79.14,13.48,1.09,368.42,85
TLT,20Y+ Treasury,Fixed Income,87.62,-0.27,0.94,37.12,75
HYG,High Yield,Fixed Income,81.03,0.4,0.97,35.84,75
LQD,Investment Grade,Fixed Income,110.68,0.02,1.01,1069.15,75
EFA,Developed Markets,International,101.69,5.44,0.95,368.86,85
EEM,Emerging Markets,International,60.44,10.13,1.27,487.04,95
