ticker,name,date,obv,obv_change_20d,ad_line,ad_change_20d,mfi,vol_ratio_5d_20d,surge_count_5d,surge_count_20d,supply_demand_score,supply_demand_stage
A,A,2026-01-28 05:00:00+00:00,3076265,-59.0,-25338462.489776842,-17.7,31.2,0.76,0,0,20,Strong Distribution
AAL,AAL,2026-01-28 05:00:00+00:00,515765816,-26.21,-832032017.9724832,-54.39,27.3,0.94,0,0,15,Strong Distribution
AAPL,AAPL,2026-01-28 05:00:00+00:00,1607123543,-13.23,921592579.8122283,-15.16,39.8,0.93,0,0,20,Strong Distribution
ABBV,ABBV,2026-01-28 05:00:00+00:00,188851660,3.45,197857872.61592662,6.9,43.2,0.84,0,0,60,Accumulation
ABNB,ABNB,2026-01-28 05:00:00+00:00,122728328,-2.7,70317576.81587389,-12.64,39.3,0.84,0,0,35,Distribution
ABT,ABT,2026-01-28 05:00:00+00:00,12150168,-91.22,170367663.32806134,-18.44,22.0,2.05,3,4,25,Strong Distribution
ACGL,ACGL,2026-01-28 05:00:00+00:00,25865948,-4.52,32399551.4552796,25.14,40.7,0.85,0,1,65,Accumulation
ACN,ACN,2026-01-28 05:00:00+00:00,-17379152,-791.7,34023406.97946334,-8.87,48.5,0.83,0,0,25,Strong Distribution
ADBE,ADBE,2026-01-28 05:00:00+00:00,-181701535,-15.46,-63041140.50935181,-25.38,37.0,0.94,0,1,20,Strong Distribution
ADI,ADI,2026-01-28 05:00:00+00:00,79303918,22.04,78923488.77731836,5.39,58.4,0.93,0,0,75,Strong Accumulation
ADM,ADM,2026-01-28 05:00:00+00:00,4769058,118.86,-27645826.24361986,33.91,84.9,0.9,0,0,85,Strong Accumulation
ADP,ADP,2026-01-28 05:00:00+00:00,28164620,15.96,43737317.29070285,-7.03,32.3,1.28,0,0,60,Accumulation
ADSK,ADSK,2026-01-28 05:00:00+00:00,34170867,18.77,2385041.999736975,40.81,42.7,1.0,0,1,80,Strong Accumulation
AEE,AEE,2026-01-28 05:00:00+00:00,53776118,17.16,39766072.41042245,7.87,78.5,0.87,0,0,80,Strong Accumulation
AEP,AEP,2026-01-28 05:00:00+00:00,98262644,5.37,111782109.04760763,11.07,55.5,0.84,0,1,75,Strong Accumulation
AES,AES,2026-01-28 05:00:00+00:00,42283910,46.01,-234859702.79248422,-7.54,66.2,0.92,0,0,55,Accumulation
AFL,AFL,2026-01-28 05:00:00+00:00,98933716,-17.8,81325581.07672846,-2.84,19.0,0.82,0,1,30,Distribution
AIG,AIG,2026-01-28 05:00:00+00:00,75920554,-24.06,-18019240.25955873,-188.92,35.2,0.68,0,2,15,Strong Distribution
AIZ,AIZ,2026-01-28 05:00:00+00:00,25181745,-2.74,4519371.320361955,-1.64,54.9,0.79,0,0,50,Neutral
AJG,AJG,2026-01-28 05:00:00+00:00,11814304,-34.36,25007862.56551883,-0.49,30.9,1.08,0,0,35,Distribution
AKAM,AKAM,2026-01-28 05:00:00+00:00,-8776886,71.12,-62847681.06751323,-5.69,71.9,1.37,1,2,65,Accumulation
ALB,ALB,2026-01-28 05:00:00+00:00,97473052,52.15,-37453868.416552275,31.19,70.6,0.95,0,0,85,Strong Accumulation
ALGN,ALGN,2026-01-28 05:00:00+00:00,-9286903,-16.28,-22283478.52851056,1.23,50.9,0.69,0,0,30,Distribution
ALL,ALL,2026-01-28 05:00:00+00:00,40845645,-15.41,17498285.737438373,-23.35,37.9,0.69,0,2,15,Strong Distribution
ALLE,ALLE,2026-01-28 05:00:00+00:00,23373085,-6.79,12081068.223213462,-10.67,62.7,0.87,0,0,25,Strong Distribution
AMAT,AMAT,2026-01-28 05:00:00+00:00,100098909,84.51,136992085.3063594,9.71,69.6,0.92,0,0,75,Strong Accumulation
AMCR,AMCR,2026-01-28 05:00:00+00:00,-45326612,51.05,-47093946.37531551,18.72,67.2,1.38,1,3,85,Strong Accumulation
AMD,AMD,2026-01-28 05:00:00+00:00,1202866339,33.32,176914738.150736,-22.89,80.8,0.93,0,1,55,Accumulation
AME,AME,2026-01-28 05:00:00+00:00,34348729,10.69,18695696.7927532,20.67,48.4,1.19,0,0,80,Strong Accumulation
AMGN,AMGN,2026-01-28 05:00:00+00:00,83078859,22.04,70721634.61768703,22.79,56.8,1.05,0,0,80,Strong Accumulation
